,timestamp,front_cam_ts,back_cam_ts,lidar_ts,tx,ty,tz,qx,qy,qz,qw
0,1681219119229792,1681219119208908,1681219119257665,1681219119229792,-23.820930277291502,-17.613024840087693,-1.5018744801211723,0.013012036086620292,0.028183790020000276,0.0028164050586186964,0.9995140963285783
191,1681219138494514,1681219138493740,1681219138476347,1681219138494514,-18.90098708537087,-16.75111071453736,-2.461687442975696,0.024511146751330096,0.03503836706028843,-0.012298198988192996,0.9990096450086605
244,1681219143840199,1681219143810825,1681219143821191,1681219143840199,-13.863071429053399,-16.80653286340309,-2.619867794137361,0.01486829933046428,0.03311964360985059,-0.0018331448798200552,0.9993391128450972
303,1681219149791068,1681219149811304,1681219149763421,1681219149791068,-9.20922585823448,-15.005791990621628,-2.8065860302037127,-0.0023008717957851963,0.018132075395236768,0.30635748280131264,0.951741050161484
356,1681219155136776,1681219155111777,1681219155154293,1681219155136777,-5.259715035322554,-11.97490071198368,-2.745698460157815,-0.004782696386516303,0.012131827469943894,0.3212079315284192,0.9469189032334016
408,1681219160381678,1681219160395488,1681219160358301,1681219160381678,-1.5617782928769155,-8.683923835157596,-2.7193681955886766,-0.00229673299031654,0.005771062839053648,0.37258208812622834,0.9279784520444311
462,1681219165828397,1681219165795956,1681219165835422,1681219165828397,2.082971603287599,-5.2841715976848365,-2.7074856816748465,0.008625158497671587,0.012729490443932966,0.36588089405670793,0.9305346517342553
517,1681219171375630,1681219171413055,1681219171372991,1681219171375630,5.695090859410865,-1.8355975624779204,-2.590465153206099,0.00611569407887032,0.008427993272180625,0.4128260467438088,0.9107503622536839
574,1681219177124778,1681219177080283,1681219177104026,1681219177124778,8.13229423642589,2.5976263215166298,-2.4838693754424828,0.005500341456819292,0.0026250404963322955,0.6215227079063526,0.7833724394966967
635,1681219183277654,1681219183314163,1681219183309634,1681219183277654,7.373125791673629,7.521822606699502,-2.365270581367209,-0.004015352379021579,-0.0037137548199585183,0.8611777721579952,0.508274462973895
687,1681219188522532,1681219188514481,1681219188513613,1681219188522532,4.799199588476825,11.827692271200776,-2.198309220812472,-0.011255147141400836,-0.0016617733955290803,0.8918882412684767,0.45211273512148614
742,1681219194069654,1681219194098325,1681219194050970,1681219194069654,1.522006151947673,15.60210502552142,-2.1229462644213224,-0.011229286551793668,-0.00899846396959926,0.9267144522132807,0.3754906854087924
796,1681219199516386,1681219199482050,1681219199544449,1681219199516386,-2.112595466120551,19.12178838470717,-2.006478464549644,-0.007058071865420998,-0.006421919623085695,0.9264606762378201,0.3762705914031253
850,1681219204962838,1681219204999154,1681219204936480,1681219204962838,-5.572862000495082,22.639552842624433,-1.7721787446274135,0.00379717760663064,-0.015212947074988195,0.9229711385506528,0.3845496393003499
900,1681219210005966,1681219209982985,1681219210001666,1681219210005966,-9.18953435411443,25.98578772118052,-1.68267074223515,0.012289485566043408,-0.012828602695302754,0.938774047291125,0.3440751133546982
954,1681219215452459,1681219215416713,1681219215467170,1681219215452459,-12.98057234936066,29.32010601828238,-1.2889046444776904,0.007243888610546641,-0.024322800627855884,0.9341892683266435,0.35587404849292675
1006,1681219220697437,1681219220700548,1681219220665873,1681219220697437,-16.469742668089854,32.878522891291425,-0.9897288140027498,0.008409833432050717,-0.023547183344254072,0.9116333065490088,0.41024324400131
1059,1681219226043017,1681219226017658,1681219226020470,1681219226043017,-19.875527530993807,36.60919143248148,-0.6923639347482347,0.006086667931574405,-0.0195174156565227,0.923793614435162,0.38234458396634896
1116,1681219231792176,1681219231801380,1681219231824860,1681219231792176,-23.39761759063684,40.24278018105707,-0.6345060293168896,0.006130404579306968,-0.01822312219624429,0.9215597382718392,0.38776021553719786
1165,1681219236734478,1681219236701844,1681219236749623,1681219236734478,-27.013567930680455,43.552980121093675,-0.1726283147517221,-0.00483487978614104,-0.015301655499278127,0.930088012599243,0.3669860652608291
1221,1681219242383013,1681219242402324,1681219242357627,1681219242383013,-30.64915140795712,46.98625034417347,-0.2611108439055152,-0.0018932329606700649,-0.00950614440008232,0.9289505766078291,0.3700768502724577
1275,1681219247829340,1681219247786054,1681219247840187,1681219247829340,-34.2118269238309,50.476456984775325,-0.2437488886050141,-0.009884700810337772,-0.007007631146030157,0.925431434791994,0.3787213293365491
1331,1681219253477994,1681219253503142,1681219253496559,1681219253477994,-37.867300410074954,54.05579395484671,-0.12013714181631452,-0.01143397896550804,-0.00189882261896663,0.9224517227305251,0.3859384378747008
1386,1681219259025010,1681219259003620,1681219259031461,1681219259025010,-41.36821504455724,57.69594246366389,-0.08570406940047581,-0.018925907811610698,-0.0004808941072508265,0.912983382688764,0.40755726185230245
1441,1681219264572818,1681219264620847,1681219264571241,1681219264572818,-44.7275892274712,61.50199575402584,-0.15850809667941967,-0.015715338664021816,-0.0046922090283821214,0.9118267401760568,0.4102474950624498
1495,1681219270019032,1681219269987954,1681219270041934,1681219270019032,-48.05800881578095,65.22770478454136,-0.09030073276510131,-0.016580983083579182,-0.006852877518576368,0.910652502908098,0.41278339115922974
